,TCpol,TCs,Amyg,OFCi,INSa,OFCm,TCc,OFCl,TCi,PHC,INS-G,PMCvl,VACv,INSp,PFCpol,HIP,sACC,PFCvl,V2,PFCm,TCv,VACd,V1-right,PFCcl,A2,CCr,CCp,ACC,S2,S1,A1,M1,PCi,PCm,PFCdm,PCip,PCs,FEF,PFCdl,PMCm,PMCdl,Thal-Front,Thal-Temp,Thal-OccPar,BG-caud,BG-put,BG-pall,BG-nac,TCpol,TCs,Amyg,OFCi,INSa,OFCm,TCc,OFCl,TCi,PHC,INS-G,PMCvl,VACv,INSp,PFCpol,HIP,sACC,PFCvl,V2,PFCm,TCv,VACd,V1-left,PFCcl,A2,CCr,CCp,ACC,S2,S1,A1,M1,PCi,PCm,PFCdm,PCip,PCs,FEF,PFCdl,PMCm,PMCdl,Thal-Front,Thal-Temp,Thal-OccPar,BG-caud,BG-put,BG-pall,BG-nac
P5212,0.054849297,0.07629083,-0.22806346,0.08271517,-0.02425325,0.06866823,0.07401267,-0.03143072,0.33914346,0.08587,0.0046905577,-0.031433508,0.12682343,0.0068522096,-0.088216305,-0.051707894,0.13575852,0.005532652,0.069755405,0.088018596,0.3222543,0.13217771,0.15352511,0.03538786,-0.016340464,0.055650055,0.0031732023,-0.08524169,0.053008437,-0.081371516,0.13477251,0.03410232,0.07956165,0.064655066,0.02439621,0.23015541,0.069161296,-0.1508089,0.071627766,-0.1250242,-0.094111085,0.20215711,-0.028498858,0.06278008,0.1231537,0.051535815,0.043112665,0.25385565,0.06337997,0.094586626,0.12418109,0.010753572,0.052012116,-0.0124669075,0.1590804,-0.026972696,0.2478846,0.15158615,0.28071773,-0.009506792,0.11034584,0.11423668,-0.015331686,0.09072152,-0.0029648244,-0.075365886,-0.0020443797,0.14831594,0.22926167,0.1353046,0.05686593,-0.026190192,-0.0070070326,0.027393997,-0.016190946,-0.07825321,-0.03281632,-0.11082284,0.013601184,-0.035759434,0.061986804,0.026293874,-0.04035127,0.14998206,-0.12311301,0.051237494,-0.078746736,-0.118033156,-0.067236334,0.19375342,-0.15123418,0.011399031,0.025357962,0.014680058,0.0054961145,0.27300656
P5215,-0.025732666,0.056316942,-0.016534388,-0.090997905,0.07280737,-0.0758149,-0.05254972,-0.012442902,-0.031899273,-0.09817505,-0.0003543198,0.044927374,0.015167683,0.056009978,0.032077968,0.018662944,0.05015874,0.04097125,0.12145418,0.0120533705,-0.1586,0.014306933,0.11063939,0.0013104677,0.16089204,-0.0207538,-0.09214637,0.019313306,0.055254042,-0.013110369,0.13869196,0.027919784,0.020843685,-0.034849286,-0.045773387,0.010219753,-0.058321714,0.073510885,-0.14848666,-0.017555416,-0.059266895,0.033472598,0.052545846,0.057997555,0.04130751,-0.13518542,-0.030202717,-0.10031545,-0.03275907,0.027630866,-0.06241505,-0.10184564,0.017599642,0.016992956,-0.0471375,-0.11897084,-0.08471337,0.073087335,-0.022078335,0.07096724,-0.002489239,-0.0030473322,0.16365984,0.075781465,-0.043770313,-0.007153973,0.061487615,0.0134934485,-0.07247454,0.054447085,0.16719976,0.055138156,0.026730299,0.11412606,-0.046856225,0.05017416,0.060020924,0.012141317,0.02111131,0.04660009,-0.022698194,-0.0504086,-0.016278803,-0.0057341754,0.015770346,0.014833808,-0.1604578,-0.0062570274,0.0039916337,0.005104482,0.047525704,-0.09093624,0.018213928,-0.15189303,0.058547378,-0.010490537
P5216,-0.10943304,0.0430391,-0.120800436,-0.19262597,-0.0014986098,-0.071245745,-0.057237014,0.0070376247,0.073147506,7.408857e-05,-0.12723687,-0.023352236,0.076379985,-0.074763834,-0.0015746355,-0.117473334,-0.1302419,-0.0682058,0.08584696,0.010471851,0.042504042,0.020282894,0.18965012,0.017870903,0.018057853,-0.10130441,-0.096113265,-0.03147462,0.032015204,-0.18883464,-0.13401082,-0.15286456,-0.098663,0.1279279,0.17346448,-0.06707883,0.096577615,0.02454263,0.06361994,-0.11625746,-0.09913644,-0.08387512,-0.0732398,-0.1975768,-0.058190912,-0.23616481,-0.24369237,-0.026046932,-0.10071172,-0.045565277,-0.045990497,-0.12920865,-0.11293903,-0.11007616,0.11086698,0.05727811,0.08795577,-0.06741181,-0.16218624,0.024143338,0.042719692,-0.06396982,-0.08352098,-0.05667001,-0.17567244,0.11924058,0.09604332,0.13446942,0.08266339,0.0023761094,0.20409945,-0.12144448,-0.020319104,-0.049381018,-0.079953015,-0.009579331,-0.0446935,-0.011854202,-0.07625827,-0.21337779,0.008709401,0.05316955,-0.0342499,-0.000690043,0.17222264,-0.059171706,0.0279105,-0.08855346,-0.03587216,-0.06577206,-0.080681115,-0.05100757,-0.107014775,-0.22779968,-0.19086441,-0.105795205
P5218,-0.06976542,-0.052498013,0.060288697,-0.14827985,-0.15148738,0.06253335,-0.15148346,-0.014685005,-0.06857625,0.07773933,0.01594153,-0.11366433,0.06756675,-0.09332281,0.12763494,-0.124216884,-0.020650178,-0.09191522,0.03146428,0.11792827,-0.073622614,-0.11023347,-0.03749174,-0.04539767,-0.1266895,0.06347379,0.07170549,0.02672854,-0.118938416,-0.029237345,-0.24288926,-0.052111596,-0.0710492,-0.0022897124,-0.046176016,-0.03839028,-0.074714676,0.0011142492,-0.008021891,0.022159785,0.072185576,-0.12718102,-0.12161663,-0.060019165,-0.10098693,-0.07134253,0.1352031,-0.11264318,0.13682353,-0.041804224,-0.21046516,-0.056646347,-0.005189121,0.027873337,-0.04983899,-0.03906253,-0.06801897,0.058068722,-0.078452915,-0.008143723,-0.18323192,-0.06839445,0.002034068,-0.065338224,-0.07808179,-0.027302906,0.015220672,0.045531273,-0.017639756,-0.09537393,0.035993874,-0.059876457,-0.17049214,0.10080242,0.1356417,0.0057352185,0.019533917,-0.007719621,-0.14663976,0.010415658,-0.021511331,0.09724742,-0.18204495,-0.18417716,0.20138744,-0.049688816,-0.052569494,-0.02097942,0.113144636,-0.10773969,-0.07532257,0.06672037,-0.037920773,0.016292691,-0.01335457,-0.019233882
P5220,-0.1558221,0.08169553,-0.02905035,0.13045388,-0.0068470538,-0.11118391,-0.002459079,0.031669334,-0.13689324,-0.08226982,0.021027744,0.01298815,-0.016353935,0.018658847,0.03697318,-0.014505506,0.037439227,0.04144618,-0.07179785,0.009871006,-0.2074497,-0.022969306,-0.11968094,-0.009647623,0.013556093,0.007186115,-0.031350434,0.048597723,0.008527607,-0.111521155,-0.023756027,-0.0350419,0.04549268,-0.1592485,0.036314994,0.108345896,0.010703772,0.11265546,0.01387918,-0.019956946,-0.09828296,-0.0051780045,0.021846771,-0.109360576,-0.08918235,0.0316332,0.028905928,-0.03608191,-0.14883262,0.093844995,0.08190903,0.10115746,0.06606069,-0.08386865,-0.04204142,0.019343138,-0.2678662,-0.037238896,0.060552,-0.041703433,-0.06484291,-0.09754036,-0.0069087744,0.027964473,-0.075409085,-0.09865677,0.018257916,0.09939468,-0.23759225,0.012701869,-0.1483145,-0.008343682,0.019858211,-0.03681177,0.017354578,-0.0071632564,-0.02910471,-0.14942364,-0.0121718645,-0.028396174,-0.025866061,-0.028460294,0.12427738,0.069597274,0.016568825,0.082187474,-0.030386016,0.0063789934,-0.08784956,0.032645613,0.031512678,0.016522765,0.04558608,-0.009176165,0.08061561,0.06290978
P5225,-0.05895953,0.0336975,0.16171888,0.19116439,0.15882438,0.04341705,-0.15156811,-0.04537657,0.03241992,-0.0006287396,-0.020132512,0.009281158,-0.05001664,0.18821508,0.2745672,0.15898585,0.14923313,0.09146643,0.04080698,0.09064528,0.054702163,0.009990677,-0.059904277,-0.033680737,0.1663853,0.048866928,0.04606238,-0.004335478,0.08319268,-0.010894775,-0.07779461,-0.10389975,0.082422435,0.123152375,0.14516139,-0.061850816,0.07357216,0.03973332,0.14660239,-0.015803963,-0.00014796853,-0.03459683,-0.07652551,0.06996873,-0.099461555,-0.059654653,-0.033640206,0.021501064,0.03663692,-0.032847956,0.16584837,0.047626942,0.0031715631,-0.082389,-0.061412737,-0.1629636,-0.08902615,0.113360316,-0.11140475,0.106120914,-0.06864834,0.13892815,0.16652337,0.11802451,0.13277084,0.056504965,-0.029553562,0.007554233,0.019713104,-0.04982637,-0.04795772,0.074870795,0.025764197,-0.010234594,0.07150185,0.025158852,0.011156231,-0.09921643,-0.027133256,-0.09950128,0.09868154,0.069693,0.11176172,-0.012416154,0.061938077,0.0564048,0.03485301,0.0617802,0.050428838,0.064465016,-0.09990904,0.018376559,0.0032305121,0.00252375,0.04750508,0.098529935
P5227,-0.14923763,-0.06549379,0.23002246,0.020105362,-0.08259848,0.016871154,-0.16046193,-0.050775334,-0.17333618,-0.026818931,-0.005330503,-0.036103815,-0.20689544,-0.03199455,-0.032409787,-0.08405039,0.01666841,-0.12310907,-0.12739775,-0.16061413,-0.19796592,0.0872792,-0.10042402,-0.09532291,-0.25766906,0.10482389,-0.0901961,0.0570392,-0.10346082,-0.08812106,-0.059838414,-0.15902272,0.04145786,-0.046518713,-0.0068283677,0.15613848,0.040956795,-0.06841427,-0.13141465,-0.097890794,-0.10002762,-0.06300789,-0.050860286,0.017892867,-0.13512543,0.029606313,0.06711286,0.1409435,0.024629533,-0.060713843,0.26634324,-0.047733188,-0.046417385,-0.17683819,-0.10309133,0.0016051829,-0.06463003,-0.051440567,-0.16207,-0.07736416,-0.03549838,-0.008979589,-0.06698516,0.0032688081,0.060451865,0.0008638501,-0.13545585,-0.12194523,-0.19951636,0.00035619736,-0.10985917,-0.14902098,-0.10924357,-0.10849157,-0.067381054,0.12882969,-0.1258016,-0.039398134,-0.040067136,-0.12689924,0.15921958,-0.0039838552,-0.08893183,0.08124986,0.079790115,-0.028833747,-0.05961445,-0.13466138,-0.21493092,-0.04713297,-0.07925597,0.0491637,-0.1398722,-0.008846909,0.07662755,0.09896165
P5229,-0.029921293,0.07476418,0.1609928,0.31414935,0.23083952,0.090146825,0.06250255,0.0003528893,-0.05479595,0.10888001,-0.038846284,-0.043358296,-0.22414637,0.17811033,0.082942635,0.17300737,0.24452916,-0.041810483,-0.15547873,0.04119286,-0.028127044,0.0924093,-0.2889381,-0.034920722,-0.03312683,-0.020979106,0.021253973,-0.03826399,0.0720467,-0.18246847,-0.21952978,-0.10776208,0.016569465,0.059348702,-0.00486356,-0.06978339,0.03368175,-0.05796644,-0.010920793,-0.019307554,-0.022604793,0.063656986,-0.008776188,0.18587908,-0.10661316,-0.2705467,-0.14197648,0.098611414,0.09078199,0.02300413,0.27574867,0.14877087,0.22568583,0.020168036,0.08970973,0.014537066,-0.019554943,0.0546301,0.077038795,0.011936158,-0.25246492,0.058931082,0.10657513,0.107367486,0.007859021,-0.03454858,-0.28709564,0.07405564,-0.10975605,0.0160674,-0.3827061,0.06503627,0.08945441,0.09216237,0.17597005,0.025850147,0.14943346,-0.13667706,0.15616277,-0.14483924,0.019023225,0.18690187,-0.06192565,-0.08677611,-0.0017197728,-0.06910932,0.0044337213,-0.036086157,0.0053992867,0.23362404,0.07848281,0.15843253,-0.12999523,-0.2567801,-0.059345096,0.11714643
P5231,-0.010133028,0.0082912,-0.14463505,-0.2310646,0.011582449,-0.11244175,-0.18656252,-0.22907893,-0.04657033,0.09534341,-0.042461693,-0.050030425,-0.17629594,-0.13113907,0.13306907,-0.025168747,0.08964971,0.052782416,-0.050493628,0.14890864,-0.032806516,-0.008163929,0.20018706,0.021709338,-0.17065881,0.03813529,-0.004387051,-0.14085017,-0.13299382,-0.048688322,-0.21454346,-0.14666365,-0.017375529,0.1248278,0.0646939,-0.012538701,-0.05009696,0.009165913,0.19920231,-0.024487212,-0.034690365,-0.2512255,-0.2654882,-0.16651744,-0.07236001,-0.050849855,-0.054943204,0.039808214,-0.2688339,-0.065722585,-0.13863832,-0.32044584,0.022073403,0.020792812,-0.20096274,-0.11419451,-0.17630535,-0.022600323,-0.09922123,-0.010623515,-0.0089818835,-0.03308992,0.0050786138,-0.029080361,0.070981085,0.10529715,0.19115794,0.10976708,-0.038428843,-0.04872857,0.030134797,-0.047816366,-0.15826252,0.1569233,0.10145271,-0.099713564,-0.102303594,-0.08894691,-0.38323194,-0.1497588,0.08983159,-0.08356923,-0.10071993,0.20802686,-0.036020964,-0.06393701,-0.012260407,-0.057160676,-0.034221172,-0.25287718,-0.30461788,-0.2822332,-0.066254795,-0.13471162,0.01410529,-0.018808067
P5234,0.06376001,0.015283734,-0.0627605,-0.04087639,0.0024002194,0.096377596,0.040077418,-0.02361156,0.0015407801,-0.0075989366,-0.17113277,-0.031865627,-0.012461126,-0.08726236,0.041170716,-0.017009169,-0.07927409,-0.017411143,-0.12252468,-0.049842894,-0.06680521,0.012815237,-0.107506275,0.0072888285,-0.16424394,0.12505865,0.047692657,-0.06279552,-0.033823013,-0.06786403,-0.006965518,-0.06483255,0.10790026,0.0081706345,0.038798153,0.07930115,-0.040197372,0.029749364,0.040558845,0.0027073026,-0.045432925,0.017660826,0.02083224,-0.05394411,-0.019396037,-0.03740394,-0.040097535,-0.044016063,-0.03486219,0.09266767,-0.046998233,0.05097948,-0.120300144,0.11400482,0.06436375,-0.013276517,-0.03811437,-0.014722228,0.00204283,-0.06354675,-0.0021737814,-0.19636992,0.11668077,0.016679406,-0.0024829507,-0.055169687,-0.15464541,0.10342914,-0.019508123,-0.0063467324,-0.14755192,0.03659664,-0.0796586,0.11999926,0.09863749,-0.15638489,-0.090069056,-0.0636017,-0.07619023,-0.06276539,0.06706479,-0.058135778,0.018996537,0.029919982,-0.08323613,-0.001463294,0.05611998,-0.08773565,-0.00707826,0.06661439,-0.039092988,-0.040157706,0.04216343,-0.041731536,0.020793378,0.020121068
