,N1_VIS1,N2_VIS2,N3_MOT1,N4_MOT2,N5_DORATT2,N6_DORATT1,N7_VAN1,N8_FP1,N9_LIM1,N10_LIM2,N11_FP2,N12_FP3,N13_FP4,N14_MOT3,N15_DMN1,N16_DMN3,N17_DMN2
P5203,0.18511077761650085,0.1937778890132904,0.4146620035171509,0.2877056896686554,0.40183860063552856,0.27147647738456726,0.21877947449684143,0.2049853503704071,0.17993447184562683,0.5513713359832764,0.21356981992721558,0.31523650884628296,0.18662750720977783,0.2112124115228653,0.19814680516719818,0.20270685851573944,0.2884792685508728
P5205,0.17277900874614716,0.242457315325737,0.29533085227012634,0.2591730058193207,0.2689773142337799,0.17197148501873016,0.171621173620224,0.22940464317798615,0.21078549325466156,0.19902393221855164,0.23475508391857147,0.27839747071266174,0.12905828654766083,0.15443989634513855,0.15235650539398193,0.16115796566009521,0.18387918174266815
P5211,0.1504613608121872,0.42257118225097656,0.3798891603946686,0.19411566853523254,0.324939101934433,0.23419161140918732,0.19441579282283783,0.3227170407772064,0.22559580206871033,0.21360260248184204,0.17044846713542938,0.3701622784137726,0.26529866456985474,0.22884772717952728,0.3140636384487152,0.30564185976982117,0.3230830430984497
P5229,0.15865032374858856,0.25973522663116455,0.4613237679004669,0.3435403108596802,0.26583656668663025,0.19855119287967682,0.21690158545970917,0.14640145003795624,0.1763381063938141,0.24443556368350983,0.1964488923549652,0.4086480438709259,0.18974669277668,0.27374157309532166,0.17904511094093323,0.3529970049858093,0.18857426941394806
P5216,0.17248684167861938,0.23567794263362885,0.28631922602653503,0.41756710410118103,0.3315565884113312,0.2522667944431305,0.2948792576789856,0.3938499391078949,0.34795746207237244,0.39790913462638855,0.21866683661937714,0.3484070599079132,0.23921804130077362,0.20225337147712708,0.22283801436424255,0.3000163435935974,0.32590532302856445
P5220,0.17517302930355072,0.328521192073822,0.40967270731925964,0.298756867647171,0.28012821078300476,0.19539184868335724,0.18239666521549225,0.2891836166381836,0.19876328110694885,0.3491498827934265,0.3028413951396942,0.30691805481910706,0.3050951063632965,0.17009705305099487,0.1839485764503479,0.2911371886730194,0.3308088481426239
P5218,0.15480223298072815,0.2965279519557953,0.4313912093639374,0.17659708857536316,0.3034072816371918,0.24604837596416473,0.12455131113529205,0.15319345891475677,0.1448986530303955,0.6894810795783997,0.29068517684936523,0.3043026030063629,0.21243515610694885,0.1785842627286911,0.2427796870470047,0.326806902885437,0.18254460394382477
P5227,0.17042654752731323,0.3067115843296051,0.362927109003067,0.48239004611968994,0.4023240804672241,0.19978290796279907,0.3140016496181488,0.29424962401390076,0.25033095479011536,0.4301896393299103,0.22018617391586304,0.49805426597595215,0.1798470914363861,0.19299957156181335,0.2907480299472809,0.34303006529808044,0.22042252123355865
P5228,0.10087893903255463,0.23448902368545532,0.4294433891773224,0.3193500339984894,0.33407413959503174,0.34535807371139526,0.24708032608032227,0.26713377237319946,0.15596087276935577,0.2782388925552368,0.22669732570648193,0.5040524005889893,0.12201807647943497,0.20565354824066162,0.16410700976848602,0.3408747613430023,0.294707328081131
P5210,0.12759621441364288,0.20458997786045074,0.33131593465805054,0.16800464689731598,0.2384914755821228,0.17390578985214233,0.17386272549629211,0.24950382113456726,0.21120049059391022,0.30720776319503784,0.18058279156684875,0.38619866967201233,0.19121582806110382,0.2256852686405182,0.19005028903484344,0.27630364894866943,0.22393929958343506
P5209,0.1798068732023239,0.3482324481010437,0.46703973412513733,0.3338945806026459,0.27711793780326843,0.2345234900712967,0.2975252568721771,0.19646957516670227,0.37984803318977356,0.22553230822086334,0.2445892095565796,0.38673675060272217,0.2112886756658554,0.32239142060279846,0.2765474021434784,0.32048243284225464,0.38943958282470703
P5207,0.1772916167974472,0.31076979637145996,0.4644489884376526,0.4717977046966553,0.3017118275165558,0.2034178078174591,0.35499924421310425,0.36761945486068726,0.27954962849617004,0.23772895336151123,0.21280992031097412,0.2502985894680023,0.20100000500679016,0.2183574140071869,0.17615993320941925,0.35700395703315735,0.2720673084259033
P5201,0.18953116238117218,0.27276453375816345,0.320569783449173,0.22302669286727905,0.28324076533317566,0.17846113443374634,0.2060973197221756,0.2599090337753296,0.17221902310848236,0.3609580099582672,0.301102876663208,0.31580761075019836,0.18950766324996948,0.2081480622291565,0.1869792938232422,0.38812047243118286,0.22393113374710083
P5206,0.17955651879310608,0.24250677227973938,0.32927221059799194,0.24933378398418427,0.33260729908943176,0.16957543790340424,0.16774965822696686,0.21650615334510803,0.15694496035575867,0.21492421627044678,0.19474506378173828,0.2655703127384186,0.12204436212778091,0.12821590900421143,0.3033130168914795,0.25293612480163574,0.17677602171897888
P5230,0.16953329741954803,0.26501578092575073,0.30781006813049316,0.2644745707511902,0.27560386061668396,0.20285527408123016,0.1906171441078186,0.1763165295124054,0.22152312099933624,0.3349607288837433,0.4263259172439575,0.2504127621650696,0.17197498679161072,0.228342667222023,0.3060629665851593,0.3367663025856018,0.22030362486839294
P5208,0.16580896079540253,0.37318122386932373,0.4427333474159241,0.17755265533924103,0.3013596832752228,0.21247036755084991,0.15736283361911774,0.3124619722366333,0.22321130335330963,0.2803005576133728,0.2004718780517578,0.3545098304748535,0.18910102546215057,0.26845258474349976,0.15704089403152466,0.47736161947250366,0.3122600018978119
P5215,0.16379624605178833,0.29300451278686523,0.2543046474456787,0.24152523279190063,0.2624554932117462,0.2707165777683258,0.1875458061695099,0.17503172159194946,0.16860170662403107,0.19736267626285553,0.22116023302078247,0.2801976203918457,0.15613089501857758,0.1212904304265976,0.3613060414791107,0.28303176164627075,0.20596833527088165
P5212,0.19233736395835876,0.27130213379859924,0.38927480578422546,0.25457116961479187,0.2576442062854767,0.22833123803138733,0.2667798101902008,0.2671860158443451,0.16124208271503448,0.5305739045143127,0.14737534523010254,0.46749773621559143,0.19842663407325745,0.18091034889221191,0.22225911915302277,0.24377436935901642,0.3277890682220459
P5224,0.08633395284414291,0.28202465176582336,0.5010941028594971,0.15413297712802887,0.20458431541919708,0.26964831352233887,0.16418778896331787,0.22049231827259064,0.2012750804424286,0.22797144949436188,0.2073180228471756,0.37109315395355225,0.24366886913776398,0.22327789664268494,0.1757310926914215,0.2759239673614502,0.21718057990074158
P5225,0.1810627579689026,0.34449005126953125,0.4354233741760254,0.2668665051460266,0.2580246031284332,0.1995369791984558,0.17467644810676575,0.16557107865810394,0.1550716608762741,0.2446674108505249,0.20384901762008667,0.3475729823112488,0.1679673194885254,0.1303700953722,0.2010163962841034,0.23960448801517487,0.1625925749540329
